SPECIES_LU_VERSION; ISGS Species List
TERMS_AND_CONDITIONS; Free to use, cite original source
SPECIES_NR;NAME;GENUS;SPECIES;AUTHOR;SYNONYM;VALID_NR;VALID_NAME;SECUNDUM
168;Carex hirta;Carex;hirta;NA;FALSE;168;Carex hirta;NA
169;Carex hostiana;Carex;hostiana;NA;FALSE;169;Carex hostiana;NA
170;Carex laevigata;Carex;laevigata;NA;FALSE;170;Carex laevigata;NA
171;Carex leporina;Carex;leporina;NA;FALSE;171;Carex leporina;NA
172;Carex nigra;Carex;nigra;NA;FALSE;172;Carex nigra;NA
173;Carex otrubae;Carex;otrubae;NA;FALSE;173;Carex otrubae;NA
174;Carex pallescens;Carex;pallescens;NA;FALSE;174;Carex pallescens;NA
175;Carex panicea;Carex;panicea;NA;FALSE;175;Carex panicea;NA
176;Carex paniculata;Carex;paniculata;NA;FALSE;176;Carex paniculata;NA
177;Carex pilulifera;Carex;pilulifera;NA;FALSE;177;Carex pilulifera;NA
178;Carex pseudocyperus;Carex;pseudocyperus;NA;FALSE;178;Carex pseudocyperus;NA
179;Carex pulicaris;Carex;pulicaris;NA;FALSE;179;Carex pulicaris;NA
180;Carex remota;Carex;remota;NA;FALSE;180;Carex remota;NA
181;Carex riparia;Carex;riparia;NA;FALSE;181;Carex riparia;NA
182;Carex rostrata;Carex;rostrata;NA;FALSE;182;Carex rostrata;NA
183;Carex sp.;Carex;sp.;NA;FALSE;183;Carex sp.;NA
184;Carex vesicaria;Carex;vesicaria;NA;FALSE;184;Carex vesicaria;NA
185;Carex viridula;Carex;viridula;NA;FALSE;185;Carex viridula;NA
186;Carex viridula s. brachyrrhyncha;Carex;viridula s. brachyrrhyncha;NA;FALSE;186;Carex viridula s. brachyrrhyncha;NA
187;Carex viridula s. oedocarpa;Carex;viridula s. oedocarpa;NA;FALSE;187;Carex viridula s. oedocarpa;NA
188;Carex viridula s. viridula;Carex;viridula s. viridula;NA;FALSE;188;Carex viridula s. viridula;NA
189;Carex x;Carex;x;NA;FALSE;189;Carex x;NA
190;Carlina vulgaris;Carlina;vulgaris;NA;FALSE;190;Carlina vulgaris;NA
191;Carum verticillatum;Carum;verticillatum;NA;FALSE;191;Carum verticillatum;NA
192;Catapodium rigidum;Catapodium;rigidum;NA;FALSE;192;Catapodium rigidum;NA
193;Centaurea nigra;Centaurea;nigra;NA;FALSE;193;Centaurea nigra;NA
194;Centaurea scabiosa;Centaurea;scabiosa;NA;FALSE;194;Centaurea scabiosa;NA
195;Centaurium erythraea;Centaurium;erythraea;NA;FALSE;195;Centaurium erythraea;NA
196;Cephalozia bicuspidata;Cephalozia;bicuspidata;NA;FALSE;196;Cephalozia bicuspidata;NA
197;Cephalozia sp.;Cephalozia;sp.;NA;FALSE;197;Cephalozia sp.;NA
198;Cephaloziella divaricata;Cephaloziella;divaricata;NA;FALSE;198;Cephaloziella divaricata;NA
199;Cephaloziella hampeana;Cephaloziella;hampeana;NA;FALSE;199;Cephaloziella hampeana;NA
200;Cephaloziella rubella;Cephaloziella;rubella;NA;FALSE;200;Cephaloziella rubella;NA
201;Cephaloziella sp.;Cephaloziella;sp.;NA;FALSE;201;Cephaloziella sp.;NA
202;Cerastium arvense;Cerastium;arvense;NA;FALSE;202;Cerastium arvense;NA
203;Cerastium fontanum;Cerastium;fontanum;NA;FALSE;203;Cerastium fontanum;NA
204;Cerastium glomeratum;Cerastium;glomeratum;NA;FALSE;204;Cerastium glomeratum;NA
205;Ceratodon purpureus;Ceratodon;purpureus;NA;FALSE;205;Ceratodon purpureus;NA
206;Chamaemelum nobile;Chamaemelum;nobile;NA;FALSE;206;Chamaemelum nobile;NA
207;Chamerion angustifolium;Chamerion;angustifolium;NA;FALSE;207;Chamerion angustifolium;NA
208;Chiloscyphus pallescens;Chiloscyphus;pallescens;NA;FALSE;208;Chiloscyphus pallescens;NA
209;Chiloscyphus polyanthos;Chiloscyphus;polyanthos;NA;FALSE;209;Chiloscyphus polyanthos;NA
210;Chrysosplenium oppositifolium;Chrysosplenium;oppositifolium;NA;FALSE;210;Chrysosplenium oppositifolium;NA
211;Cicuta virosa;Cicuta;virosa;NA;FALSE;211;Cicuta virosa;NA
212;Cinclidotus fontinaloides;Cinclidotus;fontinaloides;NA;FALSE;212;Cinclidotus fontinaloides;NA
213;Cirriphyllum piliferum;Cirriphyllum;piliferum;NA;FALSE;213;Cirriphyllum piliferum;NA
214;Cirsium arvense;Cirsium;arvense;NA;FALSE;214;Cirsium arvense;NA
215;Cirsium dissectum;Cirsium;dissectum;NA;FALSE;215;Cirsium dissectum;NA
216;Cirsium palustre;Cirsium;palustre;NA;FALSE;216;Cirsium palustre;NA
217;Cirsium vulgare;Cirsium;vulgare;NA;FALSE;217;Cirsium vulgare;NA
218;Cladonia asahinae;Cladonia;asahinae;NA;FALSE;218;Cladonia asahinae;NA
219;Cladonia coniocraea;Cladonia;coniocraea;NA;FALSE;219;Cladonia coniocraea;NA
220;Cladonia fimbriata;Cladonia;fimbriata;NA;FALSE;220;Cladonia fimbriata;NA
221;Cladonia furcata;Cladonia;furcata;NA;FALSE;221;Cladonia furcata;NA
222;Cladonia humilis;Cladonia;humilis;NA;FALSE;222;Cladonia humilis;NA
